episode,agent_0_actions,agent_0_rewards,agent_1_actions,agent_1_rewards,agent_2_actions,agent_2_rewards
29,"0.0,0.0,0.99999666,0.0;0.9989615,0.0,0.9958202,0.0;0.98627406,0.0,0.999455,0.0;0.99999666,0.0,0.99994856,0.0;0.9999173,0.0,0.9997374,0.0;0.9993602,0.0,0.99973786,0.0;0.001577227,0.0,0.9960976,0.0",0.007298176825196883;-0.004879424065812923;0.0012946972099011933;0.004895524161715625;0.001067710850490317;-0.0049690186167110845;0.6457156357656448,"0.99080205,0.0,0.95980185,0.0;0.9872799,0.0,0.9997115,0.0;0.94700146,0.0,0.99993044,0.0;0.9815781,0.0,0.9996519,0.0;0.9918141,0.0,0.99974084,0.0;0.99893236,0.0,0.9794736,0.0;0.0,0.9822955,0.99852186,0.0",0.02279160207313871;-0.004082831658966957;0.007230222172766317;0.0014675029396820718;-0.005014232045394361;-0.005266112361578429;1.0808638855205,"0.9923238,0.0,0.7617356,0.0;0.9979952,0.0,0.9988958,0.0;0.9363247,0.0,0.9975167,0.0;0.20825623,0.0,0.46912467,0.0;0.99595284,0.0,0.9927214,0.0;0.9970407,0.0,0.9984879,0.0;0.0,0.84159696,0.99998134,0.0;0.9970226,0.0,0.0,0.0;0.0,0.0,0.98681766,0.0",-5.2269813867566464e-05;-0.004122088975271559;0.002636334455866077;-0.0005897910974149297;4.4780716458588944e-05;-0.0050438145892359645;-0.005471641863043786;-0.0007223732537734504;0.33339285103104543
38,"0.99975383,0.0,0.26708293,0.0;0.9997416,0.0,0.0,0.7192359;0.99995506,0.0,0.0,0.96133024;0.9969873,0.0,0.9745738,0.0;0.9975048,0.0,0.0,0.48041096;0.9994593,0.0,0.0,0.4953725;0.997219,0.0,0.0,0.5285385;0.9996647,0.0,0.0,0.0;0.9975123,0.0,0.0,0.0;0.998718,0.0,0.23935296,0.0;0.9958157,0.0,0.99880934,0.0;0.9879294,0.0,0.9815788,0.0;0.9981294,0.0,0.8671125,0.0",0.005650524583466393;-0.0002470793278686543;0.0017273823664666608;0.0010262089916516907;-0.00017610463557916927;-0.00031621762132230625;-0.0003832419904070988;-0.00026754635140285854;0.00015408088376662655;0.004223770468969778;0.0036283977612095028;0.007327913810194279;0.9480324759102672,"0.99817044,0.0,0.972868,0.5065515;0.99965286,0.0,0.9911212,0.6178596;0.99936736,0.0,0.83110225,0.8285288;0.99591124,0.0,0.9774122,0.9883698;0.9822789,0.0,0.84492326,0.0;0.9997206,0.0,0.98619354,0.31687555;0.9969991,0.0,0.9876521,0.62108064;0.9902741,0.0,0.9754208,0.8956843;0.99715346,0.0,0.99690104,0.0;0.9828094,0.0,0.95047593,0.0;0.99935454,0.0,0.0,0.9685419;0.9947498,0.0,0.0,0.7722736;0.99816424,0.38313997,0.0,0.9949579;0.98415256,0.0,0.0,0.96967775",0.007437460927183006;-0.00019544688874877637;0.0007683202618144337;0.00037902772565708687;0.006645285992541611;7.451699649169752e-05;-0.00015703055509058334;0.0007223548763954721;-0.005378926747150964;0.00471988573494838;0.009086548937074305;-2.184235340703111e-06;-9.248574607092241e-05;1.2728728244845904,"0.9991305,0.0,0.15388712,0.0;0.9871296,0.0,0.45982772,0.13142845;0.9987515,0.0,0.007644862,0.0;0.9999939,0.0,0.0,0.9465558;0.99943435,0.0,0.0,0.33929387;0.9932211,0.37301266,0.0,0.0;0.9963355,0.0,0.0,0.76912564;0.9994105,0.0,0.0,0.33745533;0.98941225,0.0,0.0,0.269229;0.9982598,0.0,0.0,0.0;0.99955297,0.0,0.79048824,0.0;0.89649266,0.0,0.3346756,0.0;0.92142236,0.0,0.99836254,0.0;0.8394408,0.0,0.56015325,0.0",-0.00019487189254779335;-0.00019960787429101857;-0.0001322441536120081;-0.0002647227828790363;-0.00015900259753968537;-0.000512789908436379;-0.00038587119310093735;-0.0003498613082119938;-0.0003887104690904607;-0.0003249657694989032;0.0004581947464140908;-0.00026243793261916795;6.284134249615358e-05;0.3058425211884606
52,"0.9978762,0.0,0.0,0.86963195;0.99979496,0.0,0.0,0.9754809;0.9982696,0.0,0.0,0.5524824;0.99983275,0.0,0.0,0.9661297;0.9978657,0.0,0.0,0.0;0.9420702,0.0,0.46975628,0.9883952;0.99945706,0.0,0.9826935,0.0;0.9993013,0.0,0.99201095,0.0;0.99998695,0.0,0.9813467,0.0;0.9995913,0.0,0.99682903,0.0;0.9998608,0.0,0.0,0.0",0.027080281122642994;-0.00011189684486102982;0.0016601636567034586;-0.0005457123145206808;0.001378492320956971;0.0087117172175602;0.00010804166640186286;0.00010349150564774879;7.942710795099406e-05;1.7263816580019186e-05;0.9153067975055598,"0.99640346,0.0,0.0,0.99930954;0.99983317,0.0,0.9289975,0.95210725;0.99944264,0.0,0.94142,0.96050376;0.9951519,0.0,0.99069554,0.9834941;0.9995446,0.0,0.99846774,0.81880915;0.99508005,0.0,0.9993829,0.69640446;0.9957982,0.0,0.99308604,0.98239344;0.9930924,0.0,0.8621114,0.3139457;0.99968517,0.0,0.9991767,0.9588109;0.9990716,0.0,0.98729736,0.8888927;0.9960138,0.0,0.98695356,0.33244756",0.024660890565380584;-0.005210304945140091;-0.005212419333096857;-0.005214957572028;1.2030013653572537e-06;0.006454080589826008;0.004790531062250571;-0.00014728400842931456;-0.00020200695052555374;-0.00019754882792015827;0.8872723064264731,"0.0,0.0,0.0,0.98447657;0.99027145,0.0,0.0,0.9631524;0.9942767,0.0,0.0,0.92180455;0.99637526,0.0,0.0,0.8153251;0.9547783,0.0,0.0,0.9857454;0.99350744,0.0,0.0,0.49328128;0.9998832,0.0,0.0,0.0;0.99981886,0.0,0.926077,0.0;0.994664,0.0,0.9979064,0.0;0.9711422,0.0,0.996261,0.0;0.9986493,0.0,0.9936966,0.0;0.9739023,0.0,0.80593956,0.0",-0.0007066651800671773;0.0002482168649709192;-0.00042979419900109826;0.0006206154853739517;0.0014439844549707576;0.0019407768271671498;-0.00040190136957490375;-0.004909999610574976;-0.004873023485507105;-0.004887751453478211;0.00012633933489993043;0.46734558639120727
61,"0.9993163,0.0,0.99981594,0.0;0.99700975,0.0,0.9980255,0.0;0.9957623,0.0,0.9255108,0.0;0.99635017,0.0,0.0,0.0;0.9895804,0.0,0.0,0.98353773;0.9997725,0.0,0.0,0.12270115;0.9999365,0.0,0.99410146,0.0;0.9999516,0.0,0.0,0.0;0.9999714,0.0,0.0,0.0",0.011668782766815468;0.010543718993198836;-0.00015301506019994727;-0.0002029880517143723;0.0004046736304066424;0.007045379684962946;-6.72518439005646e-05;-0.00020255473152171712;1.0028757934968289,"0.9865047,0.0,0.91831243,0.8301358;0.9985315,0.0,0.8691852,0.8276492;0.8909781,0.0,0.7768377,0.1723984;0.9657939,0.0,0.9771377,0.7137842;0.9990597,0.0,0.8856137,0.9058422;0.9993739,0.0,0.94906056,0.9979079;0.999944,0.0,0.0,0.0;0.99941546,0.0,0.4271193,0.0;0.9999131,0.0,0.9999223,0.0;0.99709624,0.0,0.0,0.0",0.01829993818053876;-8.703544383877316e-05;0.0012663879780740533;0.0026635887381443275;-0.00022388559318980563;0.0006280954549573394;0.007662304000136825;-0.00014953352384746343;0.00011044033466232905;1.1183391146302966,"0.99926734,0.0,0.2698924,0.0;0.99423677,0.0,0.44425654,0.0;0.9979225,0.0,0.990386,0.0;0.90343153,0.0,0.0,1.4275312e-05;0.9534558,0.0,0.0,0.9952142;0.99606514,0.0,0.9633056,0.0;0.9995628,0.0,0.0,0.9966726;0.99874115,0.0,0.41754156,0.0;0.8992295,0.0,0.42605692,0.0;0.0,0.0,0.8839185,0.0;0.79440224,0.0,0.36305767,0.93777055;0.0,0.9859324,0.8872691,0.0;0.87833434,0.0,0.0,0.83733463;0.0,0.856703,0.9955125,0.0;0.99050117,0.0,0.0,0.9613086",-0.00014877793497438253;-0.0001365104926919215;-4.021137411710352e-05;-0.00029116855627326423;-0.0005185123900015625;2.0894082104197854e-05;-0.0006466730039707297;-0.00016782915992183544;-0.00025112752151679787;-0.0005588352630759553;-0.0008942308931269728;-0.0010862443433468276;-0.05082673993212859;-0.05106886222980625;0.09944251934634402
69,"0.99965817,0.0,0.9998939,0.0;0.99940526,0.0,0.9868048,0.0;0.9978646,0.0,0.9680455,0.0;0.9979299,0.0,0.9049619,0.6995658;0.99961483,0.0,0.0,0.8410084;0.999814,0.0,0.58005804,0.0;0.9958148,0.0,0.0,0.026954975;0.99868697,0.0,0.6773745,0.9394476;0.9999831,0.0,0.0,0.0;0.9997312,0.0,0.0,0.0;0.9966112,0.0,0.0,0.0;0.9628499,0.0,0.0,0.0",0.009832966067732783;0.00040734900516552284;0.006164047588374325;-6.94049220536567e-05;-0.00021494360922954804;0.0008288038885345009;-0.00020340184393106064;-0.001208334138410911;-0.00019811986025524645;0.0005904851823384634;-0.00021090383355580435;0.8866106788537566,"0.9999293,0.0,0.99606156,0.98780626;0.9153323,0.0,0.9755004,0.0;0.99974614,0.0,0.99663174,0.0;0.9948194,0.0,0.9962864,0.0;0.99968195,0.0,0.9999244,0.0;0.9985636,0.0,0.9349519,0.0;0.99913335,0.0,0.99960107,0.0;0.99024314,0.0,0.99991846,0.0;0.9977416,0.0,0.0,0.9773543;0.9990533,0.0,0.0,0.99749255;0.98202467,0.0,0.0,0.94157684;0.99840724,0.0,0.10253154,0.9975218",0.003795011094992201;-0.00011956760815333634;-0.0010982492659110832;-0.0001415352255974204;0.00026735221742097846;0.0004155284238292248;0.011989002539580981;0.005061851139959523;-0.0014577227038062902;0.000122673776432481;7.732875523668614e-05;0.9721101283665492,"0.9969948,0.0,0.94028974,0.0;0.985188,0.0,0.9990883,0.0;0.9978387,0.0,0.9691367,0.0;0.9553304,0.0,0.0,0.48035192;0.99889874,0.0,0.0,0.0;0.9923858,0.0,0.0,0.6780873;0.9982436,0.0,0.56621265,0.0;0.98248154,0.0,0.0,0.0;0.99915785,0.0,0.40425357,0.0;0.99915934,0.0,0.0,0.8899737;0.9284425,0.0,0.9986658,0.0;0.99410933,0.0,0.0,0.9527835;0.27108985,0.17024188,0.98218083,0.0",-2.0630819895507634e-05;0.00028914139668085383;-8.147942760277598e-05;-0.00024604270438726415;-0.0002022309540149152;-0.00013781176777454907;-0.00014632526748340236;-0.00021908469270773734;-0.0001749920931633372;-0.00036349366218535017;-9.206107891183767e-05;-0.0006279070623892402;0.3062475063457234
71,"0.0,0.9933815,0.9995813,0.0;0.0,0.9824651,0.99906915,0.0;0.0,0.9848368,0.9999894,0.0;0.0,0.9954995,0.9997514,0.0;0.0,0.99779296,0.99923015,0.0;0.0,0.9995687,0.999557,0.0;0.0,0.99867,0.9996165,0.0;0.0,0.99846697,0.9947844,0.0;0.0,0.99988705,0.0,0.0",0.012587873472747127;-0.00025135936656389067;0.00012256106496439555;0.0020001719227382437;0.003996299956174755;0.003312291941716725;0.004265478587564983;0.00012559128563411414;1.0711488398530644,"0.0,0.9999985,0.036405798,0.98841;0.0,0.98024094,0.99672717,0.0;0.0,0.9974377,0.99996,0.0;0.0,0.9977044,0.9984228,0.0;0.0,0.9999432,0.9999216,0.0;0.0,0.99988616,0.99998283,0.0;0.0,0.9602572,0.9999311,0.0;0.0,0.9319645,0.99999547,0.0;0.0,0.93996185,0.99964607,0.0;0.0,0.0,0.9992413,0.0",0.018286958561359968;0.004016973034967524;0.00012244541729983927;0.0006728293794759276;0.00011741205468733251;0.00031650194446225624;8.293131187999303e-05;0.0006796612142118357;-0.0010011664806268254;0.8456536167750671,"0.0,0.999958,0.99993813,0.0;0.0,0.99988985,0.9874532,0.0;0.0,0.99972177,0.9995156,0.0;0.0,0.99996454,0.99630046,0.0;0.0,0.99998266,0.99825495,0.0;0.0,0.99095607,0.99498034,0.0;0.0,0.9996846,0.9998531,0.0;0.0,0.99935746,0.9985012,0.0;0.0,0.9999074,0.9839141,0.60252315",0.004230935601011037;-0.0008698133117789591;0.00013087701459371038;0.0007349183184631168;0.0041278860997415985;-0.0002084955204949528;0.004453648146378503;0.00012910901887381177;0.6367224787714807
101,"0.9903848,0.0,0.99980354,0.0;0.99720746,0.0,0.27718803,0.0;0.9150877,0.0,0.9991036,0.0;0.9975359,0.0,0.92796856,0.0;0.9999337,0.0,0.9612683,0.0;0.9980035,0.0,0.9960682,0.0;0.99817926,0.0,0.9983452,0.0;0.99979156,0.0,0.9773876,0.0;0.9999942,0.0,0.0,0.98191607;0.9992952,0.0,0.6115366,0.0",0.019871277846113606;-0.0002161277846572247;0.0002981702851238307;0.008417172582629117;8.138227129163766e-05;-0.0005058077143266516;0.021995693733740267;-0.004945370654980886;0.00470018085931343;1.5582263426037415,"0.9876657,0.0,0.9751475,0.0;0.99963886,0.0,0.9999165,0.0;0.99718195,0.0,0.07198486,0.5037062;0.99989307,0.0,0.0,0.9540277;0.9989534,0.0,0.93377185,0.012945465;0.9999473,0.0,0.38406643,0.0;0.99211305,0.0,0.999434,0.0;0.9965146,0.0,0.9988475,0.0;0.9525622,0.0,0.999698,0.0;0.9998931,0.0,0.99945873,0.0",0.01973716388123063;0.00012609526305737659;0.0009786332074339656;-0.0009146214054054213;0.0016830621499719467;-0.0002429057057115741;0.00011920135205425386;0.00016726048956711904;0.00037841469972753073;0.9313451509436688,"0.9962657,0.0,0.9845047,0.0;0.9914518,0.0,0.9362068,0.0;0.99929357,0.0,0.0,0.9702801;0.9965565,0.0,0.0,0.56271017;0.99549663,0.0,0.9891924,0.0;0.989111,0.0,0.93239284,0.0;0.9845422,0.0,0.9993985,0.0;0.7332288,0.0,0.9019571,0.0;0.0,0.0,0.98086834,0.0;0.9929693,0.0,0.0,0.9692117;0.9391572,0.030517397,0.2753103,0.0;0.9825426,0.0,0.9715182,0.0;0.0,0.9768447,0.96904194,0.0",0.00010176986746095195;7.601678871455669e-05;-0.0008141769059067201;-0.0007357489935109824;0.001592847110267346;8.367132167566704e-05;0.0001201535099222717;-7.046594691113161e-05;-0.00046181890303443994;-0.0060401478509617655;-0.0005406633146253601;-0.00021747053349231994;0.31439300461307607
103,"0.0,0.99995285,0.18506694,0.35957783;0.0,0.9997669,0.90772176,0.0;0.0,0.99981505,0.0,0.9337069;0.0,0.9999991,0.9430648,0.0;0.0,0.99981445,0.0,0.91230214;0.0,0.9995547,0.9980642,0.0;0.0,0.99997467,0.9339916,0.0;0.0,0.97730243,0.0,0.96520096;0.0,0.99967927,0.0,0.0;0.0,0.9999543,0.0,0.9956999;0.0,0.99980104,0.0,0.88372433;0.0,0.9998606,0.0,0.0;0.0,0.99786216,0.0,0.0",0.01202546058885428;-0.0002739276329110382;0.006109693496112526;0.0002681743790995186;0.0037884080210769883;0.011469347324595178;-0.0005099000419082827;0.0030250960569664833;0.005910872530344299;3.7059165094401493e-05;0.003450190839962626;-0.0001019691540352655;1.3755740927097873,"0.0,0.99898195,0.9668474,0.0;0.0,0.99872696,0.1799654,0.0;0.0,0.997438,0.65646535,0.0;0.0,0.9999854,0.8503617,0.0;0.0,0.9997894,0.49151736,0.0;0.0,0.99198115,0.14949507,0.4381918;0.0,0.99939585,0.86683095,0.0;0.0,0.99911183,0.0,0.9756485;0.0,0.99807405,0.0,0.9967685;0.0,0.9970436,0.39076963,0.99410516;0.0,0.9997465,0.0,0.99932206;0.0,0.99501,0.0,0.87556076;0.0,0.99939346,0.06933054,0.966019",0.011854676176839886;-0.00024279195730769054;-0.0003531886259532996;-5.389940483962785e-05;-0.0004422367125978326;-0.00019195641671749676;-0.0007157619238174178;0.00010891920236218633;0.00012784792747935352;0.0012630247827019802;0.0004167353357723701;2.287531414269184e-05;0.6421182810624827,"0.0,0.88570577,0.9259341,0.0;0.0,0.9996706,0.9609693,0.51125026;0.0,0.9907856,0.90696335,0.0;0.0,0.99871093,0.0,0.0;0.0,0.9471283,0.9417409,0.08377019;0.0,0.912512,0.86373067,0.0;0.0,0.9981548,0.14770366,0.49829915;0.0,0.80347335,0.0,0.80221266;0.0,0.99748266,0.0,0.05564512;0.0,0.99829113,0.0,0.8563553;0.0,0.9892162,0.0,0.9364302;0.0,0.9904266,0.0,0.9995794;0.0,0.99927956,0.0,0.85444695",-0.00039398346563608577;-0.00028600209185358517;-0.0004321390688004797;-0.00019731671344836777;-0.0005824101241456006;-0.0007273874641350631;-0.0001870739641750091;-0.00010311205543362823;-0.00017975307734679273;7.70658924820726e-05;8.678373237055626e-05;0.00011280626163887542;0.3023784545978271
